V1,V2,V3,V4,V5,V6
3.702393617022189942e-02,6.826755319148680723e-02,-2.074113475175578397e-03,-6.129202127660028643e-02,-8.419024822694907984e-02,-9.743705673758254471e-02
2.845000709220770960e-02,5.958004964538755194e-02,-1.005311702127484677e-02,-6.070471985816054683e-02,-8.364945390070795128e-02,-9.685297517729887784e-02
2.819274468086015520e-02,6.753421276595490685e-02,-5.573787234040603056e-03,-5.597575177305438160e-02,-7.063365957446664234e-02,-8.380222695034837688e-02
3.210214893617903409e-02,7.128004255318916293e-02,-1.152790780140137278e-03,-5.546345035461464762e-02,-6.599286524822574329e-02,-7.912647872339828581e-02
2.769488652483171470e-02,6.253420567375658767e-02,-9.240127659572740931e-03,-6.746781560284176305e-02,-8.219373758865122781e-02,-9.528406382978123201e-02
3.163762411348392672e-02,6.214670212765730645e-02,-8.994131205672040857e-03,-7.114718085106844225e-02,-8.176127659574343454e-02,-8.644998226949759945e-02
3.143869503546970617e-02,6.597586524822444953e-02,-8.723134751771347006e-03,-6.232654609929585282e-02,-6.882048226950213121e-02,-8.179090070921371525e-02
3.125643262412215045e-02,6.565502836879183457e-02,-1.104716312040066040e-04,-5.768924468085546292e-02,-6.422135460992790812e-02,-7.299015248226341235e-02
3.109083687944126650e-02,6.116752482269279673e-02,-1.233114184396970348e-02,-6.556860992908281061e-02,-7.213889361702052749e-02,-8.087273758864638173e-02
3.092524113476037562e-02,6.082168794326017758e-02,-2.038514539006897053e-02,-7.344797517730927705e-02,-7.173976595744606388e-02,-9.292198936169623891e-02
3.075964539007949167e-02,5.630918439716069146e-02,-1.593081560283517162e-02,-7.297734042553619127e-02,-6.715730496453761744e-02,-8.829624113474569824e-02
3.059404964539860078e-02,5.596334751772807925e-02,-1.980981914893423235e-02,-6.831503900709670618e-02,-7.089151063829714217e-02,-7.532049290779563311e-02
3.042012056738438441e-02,5.560917730496213462e-02,-1.534715602836710102e-02,-6.781940425532362315e-02,-6.628404964538869848e-02,-7.482807801417863669e-02
3.024619148937016111e-02,5.524667375886285065e-02,-1.920949290779949692e-02,-6.732376950355056788e-02,-7.417658865248132061e-02,-8.684399645389470623e-02
3.006392907802260886e-02,5.486750354609690183e-02,-1.890516312056546300e-02,-7.099480141844391468e-02,-7.790246099290662474e-02,-8.635158156027770981e-02
2.988166666667505661e-02,5.864666666666450145e-02,-2.275083333333163468e-02,-7.464083333333818016e-02,-8.161166666666526404e-02,-8.584249999999404857e-02
2.969940425532750089e-02,5.824249645389854846e-02,-2.242983687943093246e-02,-6.996186524823111430e-02,-7.700420567375770853e-02,-8.119175177304395474e-02
2.534214184398018294e-02,4.950499290779885458e-02,-2.627550709219666006e-02,-7.361623049645871220e-02,-8.489674468085033066e-02,-8.905767021276025930e-02
2.930987943263239220e-02,5.325082269503311760e-02,-2.592951063829595712e-02,-7.724559574468539691e-02,-8.443928368794254014e-02,-9.272358865247636028e-02
2.911095035461817165e-02,5.281331914893383495e-02,-2.558351418439525418e-02,-7.668329432624565456e-02,-7.563182269503432309e-02,-8.805617375885960163e-02
2.890368794327061869e-02,5.237581560283455229e-02,-2.938751773049476032e-02,-7.610432624113926126e-02,-7.513269503545985661e-02,-8.753042553190927555e-02
3.286309219858993963e-02,5.192164539006860480e-02,-2.484985460992718623e-02,-7.135035815603309184e-02,-7.460856737588539289e-02,-8.282134397162541073e-02
3.263916312057571489e-02,5.144247517730266006e-02,-2.447052482269315710e-02,-7.489639007092645240e-02,-8.239277304964462423e-02,-8.643726241134194743e-02
3.658190070922792692e-02,5.510497163120358505e-02,-1.991619503545935879e-02,-7.009242198582028849e-02,-7.766864539006951285e-02,-8.172818085105808261e-02
3.219963829788061171e-02,5.042580141843742980e-02,-2.785353191489196162e-02,-7.359678723404697309e-02,-8.126951773049570504e-02,-8.951076595744106301e-02
2.780904255319951654e-02,4.989663120567147669e-02,-2.743253546099126000e-02,-7.709281914894033916e-02,-8.486205673758767665e-02,-8.476835106382429874e-02
2.759344680851862769e-02,4.935079432623886569e-02,-3.531153900709052551e-02,-7.638885106383394574e-02,-8.427126241134655360e-02,-9.250093617020727077e-02
2.319451773050464766e-02,4.877995744680625051e-02,-3.485720921985649423e-02,-7.565988297872752733e-02,-7.950546808510565444e-02,-8.772518794325673275e-02
2.710392198582352308e-02,4.817578723404029872e-02,-3.440287943262246295e-02,-7.491424822695447183e-02,-8.304800709219761767e-02,-9.128277304963994254e-02
2.683832624114263626e-02,4.754661702127435663e-02,-2.977354964538821841e-02,-6.998528014184829393e-02,-8.239887943262315384e-02,-8.649869148935607210e-02
2.657273049646174598e-02,4.689244680850840341e-02,-3.346088652482105685e-02,-7.335631205674165989e-02,-7.754975177304893053e-02,-9.003127659573928465e-02
3.049046808511440138e-02,4.622160992907579230e-02,-2.877322340425348193e-02,-7.251067730496858765e-02,-6.850895744680737809e-02,-8.520552836878875214e-02
3.439987234043327680e-02,4.552577304964317700e-02,-2.406056028368635039e-02,-7.164837588652885059e-02,-6.363482978723315753e-02,-7.621311347517177592e-02
3.412594326241905757e-02,4.895493617021076660e-02,-3.182289716311895167e-02,-7.072774113475577273e-02,-6.705236879432512065e-02,-8.383736524822141267e-02
2.967701418440507263e-02,3.984243262411107933e-02,-3.539356737588467833e-02,-7.394043971631669709e-02,-7.460324113475107211e-02,-9.144495035460439847e-02
2.521975177305731119e-02,3.904659574467846117e-02,-3.477257092198397792e-02,-7.711980496454338974e-02,-8.212078014184279184e-02,-9.486920212765427574e-02
2.908748936170996516e-02,4.237575886524605484e-02,-3.412657446808327333e-02,-7.189917021277056342e-02,-7.712165248226857117e-02,-8.994345390070374036e-02
3.294689361702884262e-02,4.151325531914677736e-02,-2.511391134751593535e-02,-6.246186879433040379e-02,-7.625585815602745066e-02,-8.084270567375342886e-02
3.263129787234795437e-02,4.478408510638103718e-02,-2.438458156028190313e-02,-6.131623404255734378e-02,-7.538173049645298385e-02,-7.590029078013668662e-02
2.814070212766730389e-02,3.968824822694821952e-02,-2.781358510638140893e-02,-6.429559929078403069e-02,-7.447426950354518738e-02,-7.928287588651944384e-02
2.778343971631975357e-02,3.870074468084893499e-02,-3.123425531914713477e-02,-7.555829787234447092e-02,-7.767514184397047994e-02,-8.264046099290266179e-02
2.325117730497198998e-02,3.352157446808277930e-02,-2.627992553191333888e-02,-6.592099645390521456e-02,-7.248434751772958595e-02,-7.763137943261878837e-02
2.706058156029131356e-02,3.665907092198370659e-02,-2.128392907801242989e-02,-6.040869503546482389e-02,-6.313521985815470638e-02,-6.843896453900182031e-02
2.251998581561021756e-02,3.143823404255088882e-02,-2.877126595744503024e-02,-6.318806028369240713e-02,-6.208609219858025191e-02,-7.591321631205145970e-02
2.212105673759599822e-02,3.034239716311827248e-02,-2.790026950354432961e-02,-6.175075886525267094e-02,-6.099529787233912148e-02,-7.503746808510113053e-02
2.588046099291531690e-02,2.922989361701899130e-02,-2.286260638297719916e-02,-6.028845744681293750e-02,-5.991283687943132347e-02,-7.417005319148413378e-02
2.129819858156755535e-02,2.810072340425304183e-02,-2.199994326240983095e-02,-5.880948936170653230e-02,-6.300537588652417587e-02,-7.331930496453380186e-02
2.503260283688687679e-02,2.696321985815375993e-02,-2.530394680850889255e-02,-6.148052127659989208e-02,-5.776458156028239227e-02,-6.831022340425038641e-02
2.458367375887265602e-02,2.998404964538801953e-02,-2.862461702127506308e-02,-5.998488652482682204e-02,-4.837378723404173880e-02,-7.166780851063314639e-02
2.413474468085843525e-02,2.467987943262186373e-02,-1.947028723404105668e-02,-5.433091843972065460e-02,-5.565799290780013703e-02,-7.087539361701615526e-02
2.368581560284421794e-02,2.355070921985591426e-02,-1.867429078014035473e-02,-5.286861702128092116e-02,-5.465886524822567011e-02,-6.594964539006606397e-02
2.740355319149642699e-02,2.243820567375663655e-02,-1.791996099290632180e-02,-5.143964893617451739e-02,-4.955140425531810722e-02,-6.523223049644906457e-02
1.861295744681557007e-02,1.717570212765759385e-02,-2.555729787233892297e-02,-5.422734751773454487e-02,-4.448560992907721334e-02,-6.872314893616515707e-02
1.815569503546801342e-02,1.193819858155810432e-02,-2.492796808510488668e-02,-5.290671276596147637e-02,-4.781981560283584537e-02,-6.810573404254816055e-02
1.770676595745379611e-02,1.506736170212570614e-02,-2.851530496453772920e-02,-5.165274468085506721e-02,-5.539568794326180795e-02,-7.169665248226471388e-02
2.144117021277311755e-02,1.823819148935951900e-02,-2.382764184397015428e-02,-5.046544326241533818e-02,-5.884656028368710767e-02,-7.530423758864747408e-02
1.687557446809202083e-02,2.146735460992710981e-02,-1.918997872340257732e-02,-4.520314184397583590e-02,-5.403076595744621402e-02,-6.644515602836384427e-02
2.485164539007777076e-02,2.476318439716136688e-02,2.064351063831160269e-03,-2.754917375886860309e-02,-3.264830496453782760e-02,-4.931107446808023764e-02
2.867771631206375918e-02,3.226734751772872278e-02,3.575201418439841183e-02,2.504794326237028135e-03,-1.133251063829699562e-02,-3.223532624112997180e-02
2.418712056738266461e-02,3.149651063829610881e-02,6.936467730496610751e-02,2.829209574467711832e-02,1.407495035461115568e-02,-6.867911347513062578e-03
1.972152482270201485e-02,3.910900709219679999e-02,7.375234042553323321e-02,3.312939716311661537e-02,1.854907801418537866e-02,-6.558829787229400118e-03
2.789262411354518842e-03,3.427983687943064739e-02,7.390667021276726978e-02,3.785836524822366878e-02,2.295653900709293538e-02,-2.124748226945529731e-03
-1.411799999999341880e-02,3.785066666666490887e-02,9.901933333333455545e-02,6.750399999999597000e-02,5.233900000000085012e-02,1.897600000000450315e-02
-3.515859574467401077e-02,3.315482978723208879e-02,1.074319964539023342e-01,8.040796808510254634e-02,6.084646099290905857e-02,4.006841489362164554e-02
-6.034085815602147768e-02,1.600899290779953660e-02,9.914465957446928768e-02,7.657026950354252348e-02,6.097058865248352472e-02,5.280249645390548696e-02
-7.300645390070253926e-02,7.246489361700282628e-03,9.917398936170332413e-02,8.517423758864844929e-02,7.771971631205792930e-02,6.135324468085578964e-02
-7.731371631205030681e-02,-9.799347517732273638e-03,7.835331914893765848e-02,6.871987234042158110e-02,6.528551063829887702e-02,5.737899290780591049e-02
-6.909597872339788560e-02,-1.847018439716485716e-02,4.085764893617159499e-02,4.389050709219518426e-02,5.282630496453983443e-02,4.506307446808983930e-02
-4.838657446807861917e-02,2.042312056735565151e-03,2.000364539007215212e-02,2.736114184396831045e-02,4.449209929078144082e-02,2.855548936170689348e-02
-3.185217021275957294e-02,1.738141843969615019e-03,2.413297517730639621e-02,3.163177659574114425e-02,4.447456028368923509e-02,3.287290425532365251e-02
-2.779276595744024914e-02,-2.707695035462760746e-03,1.160397163120691945e-02,1.505241134751427075e-02,2.778202127659620824e-02,2.469031914894068147e-02
-1.122502836878786110e-02,1.196468085104387957e-03,-9.258365248225415220e-03,-9.868620567379681255e-03,-5.560517730495879996e-03,-1.683393262410884036e-02
9.517709219864733255e-03,9.506312056717716730e-04,-1.760403546099135325e-02,-3.062298581560631699e-02,-3.056139007092088106e-02,-4.166651773049220159e-02
1.776044680851714824e-02,7.214609929058271587e-04,-2.177470567375752383e-02,-3.886901773050032566e-02,-4.304559574467992783e-02,-5.397410283687494037e-02
2.183651773050269279e-02,4.667290780140088968e-03,-2.594537588652369442e-02,-4.710671631206012067e-02,-5.133813475177254754e-02,-6.209835460992457756e-02
2.174592198582180405e-02,4.446453900707476870e-03,-3.427437943262296588e-02,-5.118608156028681133e-02,-5.959734042553094246e-02,-7.438093971630775625e-02
2.581365957447446027e-02,8.383950354607962174e-03,-3.012004964538872454e-02,-5.109044680851373976e-02,-6.369821276595624693e-02,-7.416352482269075730e-02
2.570639716312690670e-02,8.163113475175350076e-03,-3.013238652482135363e-02,-5.516147872340799313e-02,-7.199908510638219905e-02,-7.395444326240710464e-02
2.978246808511244778e-02,7.958943262409402808e-03,-3.430305673758752422e-02,-5.506584397163492156e-02,-7.199162411347440060e-02,-7.375369503545677052e-02
2.969187234043156251e-02,3.596439716310358137e-03,-3.429039361702015953e-02,-5.497854255319518241e-02,-5.948416312056641758e-02,-6.940294680850622733e-02
3.794294326241730991e-02,3.392269503544410869e-03,-3.426939716311945550e-02,-5.488290780142211778e-02,-5.528503546099219207e-02,-6.503553191488947727e-02
2.952734751773645333e-02,3.196432624111796017e-03,-3.843173404255185305e-02,-5.478727304964904621e-02,-5.941090780141749378e-02,-7.317645035460577929e-02
3.360341843972244197e-02,2.992262411345848749e-03,-4.259407092198469469e-02,-5.885830496454240446e-02,-6.771178014184345284e-02,-7.298403546098879147e-02
2.934615602837468279e-02,-1.370241134753640011e-03,-4.257307446808399065e-02,-5.875433687943600741e-02,-7.184598581560208697e-02,-7.277495390070512493e-02
2.508889361702736423e-02,2.600588652480619045e-03,-4.255207801418328661e-02,-5.865036879432960343e-02,-6.763852482269452904e-02,-6.839920567375458449e-02
2.917329787234624119e-02,6.571418439714434012e-03,-3.836441489361571561e-02,-5.854640070922319944e-02,-7.177273049645316316e-02,-7.235679078013779186e-02
3.324936879433222636e-02,2.720058156028196811e-02,-3.836008510638167640e-02,-6.680909929078299170e-02,-8.842360283687862588e-02,-8.883937588652074391e-02
